"ensembl_gene_id","mgi_symbol","hg_ensembl_gene_id","hgnc_symbol","description","max_cat","t50_cat","group_1","group_2","avg_max","avg_min","avg_fc","avg_t50","H3K27me3_bin","H3K27me3","H3K4me3_bin","H3K4me3"
"ENSMUSG00000042208","0610010F05Rik","ENSG00000162929","SANBR","RIKEN cDNA 0610010F05 gene [Source:MGI Symbol;Acc:MGI:1918925]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.222297,22.31087,0,0.172368295687352,1,0.705853008589045
"ENSMUSG00000030316","1500001M20Rik","ENSG00000144559","TAMM41","RIKEN cDNA 1500001M20 gene [Source:MGI Symbol;Acc:MGI:1916221]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.197798,17.93081,0,0.17588791808811,1,0.652841294353787
"ENSMUSG00000025500","1600016N20Rik","ENSG00000185522","LMNTD2","RIKEN cDNA 1600016N20 gene [Source:MGI Symbol;Acc:MGI:1919250]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.175949,7.986444,1,0.274261265233296,0,0.328995437330673
"ENSMUSG00000057818","1600029O15Rik",NA,NA,"RIKEN cDNA 1600029O15 gene [Source:MGI Symbol;Acc:MGI:3045362]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.748374,15.36605,1,0.500803461655121,1,0.826264379146823
"ENSMUSG00000031937","2200002K05Rik","ENSG00000214376","VSTM5","RIKEN cDNA 2200002K05 gene [Source:MGI Symbol;Acc:MGI:1916387]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.292224,7.415521,1,0.308511875361305,0,0.396183204920773
"ENSMUSG00000025384","2310003H01Rik","ENSG00000185504","FAAP100","RIKEN cDNA 2310003H01 gene [Source:MGI Symbol;Acc:MGI:1919135]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.335095,12.58515,0,0.216656747050192,1,0.689499525227041
"ENSMUSG00000034173","2410018M08Rik","ENSG00000232040","ZBED9","RIKEN cDNA 2410018M08 gene [Source:MGI Symbol;Acc:MGI:1919220]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.164072,7.20267,0,0.18254765746727,1,0.520961279402473
"ENSMUSG00000043391","2510009E07Rik","ENSG00000187068","C3orf70","RIKEN cDNA 2510009E07 gene [Source:MGI Symbol;Acc:MGI:1919440]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.120586,22.63686,0,0.24895136765029,1,0.793971553727134
"ENSMUSG00000039798","2600006K01Rik",NA,NA,"RIKEN cDNA 2600006K01 gene [Source:MGI Symbol;Acc:MGI:1917569]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.479414,6.333862,0,0.243282626190328,1,0.503535652705556
"ENSMUSG00000060424","2610017I09Rik",NA,NA,NA,"E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.104686,19.97119,0,0.232302070958595,1,0.917119184686515
"ENSMUSG00000031226","2610029G23Rik","ENSG00000102390","PBDC1","RIKEN cDNA 2610029G23 gene [Source:MGI Symbol;Acc:MGI:1914933]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.142087,17.20631,0,0.16072323468465,1,0.616409129854184
"ENSMUSG00000074415","2610203C20Rik",NA,NA,"RIKEN cDNA 2610203C20 gene [Source:MGI Symbol;Acc:MGI:1917705]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.727285,7.728515,1,0.521058060544285,1,0.765409275099623
"ENSMUSG00000021807","2700060E02Rik","ENSG00000087302","RTRAF","RIKEN cDNA 2700060E02 gene [Source:MGI Symbol;Acc:MGI:1915295]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.148089,19.46674,0,0.169920581757235,1,0.71338640954108
"ENSMUSG00000054074","2810030E01Rik","ENSG00000180592","SKIDA1","RIKEN cDNA 2810030E01 gene [Source:MGI Symbol;Acc:MGI:1919918]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.315609,25.64015,0,0.218656517558745,1,0.937288265623924
"ENSMUSG00000078453","3110003A17Rik","ENSG00000146386","ABRACL","RIKEN cDNA 3110003A17 gene [Source:MGI Symbol;Acc:MGI:1920362]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,4.104847,22.32455,0,0.188235562583604,1,0.72980856703496
"ENSMUSG00000090061","3110047P20Rik","ENSG00000174145","NWD2","RIKEN cDNA 3110047P20 gene [Source:MGI Symbol;Acc:MGI:1920464]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,4.412345,5.683083,1,0.42879232096211,1,0.640104570457884
"ENSMUSG00000030649","3200002M19Rik",NA,NA,"RIKEN cDNA 3200002M19 gene [Source:MGI Symbol;Acc:MGI:1922680]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.044614,22.37351,0,0.127365693781965,1,0.63877262829265
