"ensembl_gene_id","mgi_symbol","hg_ensembl_gene_id","hgnc_symbol","description","max_cat","t50_cat","group_1","group_2","avg_max","avg_min","avg_fc","avg_t50","H3K27me3_bin","H3K27me3","H3K4me3_bin","H3K4me3"
"ENSMUSG00000078570","1110065P20Rik","ENSG00000197982","C1orf122","RIKEN cDNA 1110065P20 gene [Source:MGI Symbol;Acc:MGI:1916170]","unchanged","Mid","Cell cycle","Cell cycle",21,6,0.4308864,16.30134,0,0.155089492780665,1,0.752643430829534
"ENSMUSG00000029463","1500011H22Rik","ENSG00000204856","FAM216A","RIKEN cDNA 1500011H22 gene [Source:MGI Symbol;Acc:MGI:1916198]","unchanged","Early","Cell cycle","Cell cycle",1,25,0.4579833,5.890168,0,0.17388119229064,1,0.730242169755277
"ENSMUSG00000019797","1700021F05Rik","ENSG00000130349","MTRES1","RIKEN cDNA 1700021F05 gene [Source:MGI Symbol;Acc:MGI:1915101]","unchanged","Early","Cell cycle","Cell cycle",1,21,1.473761,5.937025,0,0.189114467924008,1,0.685528153358559
"ENSMUSG00000038323","1700066M21Rik","ENSG00000178074","C2orf69","RIKEN cDNA 1700066M21 gene [Source:MGI Symbol;Acc:MGI:1920717]","unchanged","Early","Cell cycle","Cell cycle",8,1,0.5600288,5.769971,0,0.194566028986976,1,0.681818673068816
"ENSMUSG00000018412","1700081L11Rik","ENSG00000120071","KANSL1","RIKEN cDNA 1700081L11 gene [Source:MGI Symbol;Acc:MGI:1923969]","unchanged","Mid","Cell cycle","Cell cycle",22,1,0.5457918,7.909688,0,0.225045266069545,1,0.835689750229428
"ENSMUSG00000070394","1810027O10Rik","ENSG00000205544","TMEM256","RIKEN cDNA 1810027O10 gene [Source:MGI Symbol;Acc:MGI:1916436]","E15","Mid","Cell cycle","Cell cycle",1,28,1.147052,17.3458,0,0.170546498167884,1,0.770046746642846
"ENSMUSG00000039670","1810049H13Rik","ENSG00000204237","OXLD1","RIKEN cDNA 1810049H13 gene [Source:MGI Symbol;Acc:MGI:1913681]","unchanged","Mid","Cell cycle","Cell cycle",1,14,0.8457826,7.138898,0,0.177795550105065,1,0.654686967678865
"ENSMUSG00000049643","2310022A10Rik","ENSG00000160392","C19orf47","RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.5177332,4.871446,0,0.169122508562456,1,0.694673669820583
"ENSMUSG00000068264","2310035K24Rik","ENSG00000125843","AP5S1","RIKEN cDNA 2310035K24 gene [Source:MGI Symbol;Acc:MGI:1916846]","unchanged","Mid","Cell cycle","Cell cycle",1,63,1.005128,17.74617,0,0.176082420989407,1,0.63887978301056
"ENSMUSG00000036955","2510003E04Rik","ENSG00000198954","KIFBP","RIKEN cDNA 2510003E04 gene [Source:MGI Symbol;Acc:MGI:1919570]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.7901995,5.13361,0,0.16796686857089,1,0.701893648616064
"ENSMUSG00000009114","2610028H24Rik","ENSG00000160298","C21orf58","RIKEN cDNA 2610028H24 gene [Source:MGI Symbol;Acc:MGI:1924214]","E15","Mid","Cell cycle","Cell cycle",1,14,1.01181,10.44641,1,0.225033250462951,0,0.261315232611245
"ENSMUSG00000037818","3110057O12Rik","ENSG00000164074","ABHD18","RIKEN cDNA 3110057O12 gene [Source:MGI Symbol;Acc:MGI:1915468]","unchanged","Mid","Cell cycle","Cell cycle",21,7,0.5025724,12.92871,0,0.14750515073991,1,0.579781565626305
"ENSMUSG00000035399","3230401D17Rik","ENSG00000132823","OSER1","RIKEN cDNA 3230401D17 gene [Source:MGI Symbol;Acc:MGI:1913930]","unchanged","Mid","Cell cycle","Cell cycle",1,25,1.011709,14.75472,0,0.162277469354202,1,0.746493600337927
"ENSMUSG00000062822","4833420G17Rik","ENSG00000172244","C5orf34","RIKEN cDNA 4833420G17 gene [Source:MGI Symbol;Acc:MGI:1914642]","E15","Mid","Cell cycle","Cell cycle",1,28,1.507016,12.50328,0,0.152393555867037,1,0.647514284712098
"ENSMUSG00000056260","4933421E11Rik","ENSG00000121931","LRIF1",NA,"unchanged","Mid","Cell cycle","Cell cycle",1,21,0.5987512,6.700588,0,0.14483541262858,1,0.570325978143219
"ENSMUSG00000034168","6430527G18Rik","ENSG00000119669","IRF2BPL","RIKEN cDNA 6430527G18 gene [Source:MGI Symbol;Acc:MGI:2442463]","P14_P56","Mid","Cell cycle","Cell cycle",21,8,1.153791,15.44818,1,0.422399817327492,1,0.824375585666763
"ENSMUSG00000055485","9830001H06Rik","ENSG00000149639","SOGA1","RIKEN cDNA 9830001H06 gene [Source:MGI Symbol;Acc:MGI:2444575]","unchanged","Mid","Cell cycle","Cell cycle",25,6,1.048464,11.28239,0,0.269299533619679,1,0.906541840713612
"ENSMUSG00000059555","A830007P12Rik","ENSG00000198113","TOR4A","RIKEN cDNA A830007P12 gene [Source:MGI Symbol;Acc:MGI:2442720]","P14_P56","Early","Cell cycle","Cell cycle",21,1,1.542475,5.7523,1,0.385658135109726,0,0.307864534344889
"ENSMUSG00000033157","Abhd10","ENSG00000144827","ABHD10","abhydrolase domain containing 10 [Source:MGI Symbol;Acc:MGI:2442422]","unchanged","Mid","Cell cycle","Cell cycle",1,28,0.5933516,13.63742,0,0.200841725686771,1,0.70403530934339
"ENSMUSG00000032735","Ablim3","ENSG00000173210","ABLIM3","actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]","E15","Early","Cell cycle","Cell cycle",1,8,2.186903,5.251006,1,0.29376858312141,1,0.625679417839927
"ENSMUSG00000038000","Acd","ENSG00000102977","ACD","adrenocortical dysplasia [Source:MGI Symbol;Acc:MGI:87873]","unchanged","Early","Cell cycle","Cell cycle",1,6,0.7119697,4.5,0,0.213745283594491,1,0.857973939075636
"ENSMUSG00000032883","Acsl3","ENSG00000123983","ACSL3","acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]","unchanged","Mid","Cell cycle","Cell cycle",25,6,0.6886341,13.21366,0,0.225011955148605,1,0.775608553541537
"ENSMUSG00000031278","Acsl4","ENSG00000068366","ACSL4","acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713]","unchanged","Mid","Cell cycle","Cell cycle",22,1,0.9290407,8.979062,0,0.235752124663997,1,0.705891259829086
"ENSMUSG00000015143","Actn1","ENSG00000072110","ACTN1","actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]","unchanged","Mid","Cell cycle","Cell cycle",1,19,0.7885141,10.98098,1,0.39599866149027,1,0.761132360434767
"ENSMUSG00000022994","Adcy6","ENSG00000174233","ADCY6","adenylate cyclase 6 [Source:MGI Symbol;Acc:MGI:87917]","unchanged","Mid","Cell cycle","Cell cycle",28,1,1.096762,7.68496,0,0.216760639568766,1,0.742728474224659
"ENSMUSG00000030609","Aen","ENSG00000181026","AEN","apoptosis enhancing nuclease [Source:MGI Symbol;Acc:MGI:1915298]","unchanged","Mid","Cell cycle","Cell cycle",1,28,0.8536646,15.91791,0,0.195733431218897,1,0.677598088188321
