"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Slc9a3r2","scaffold/adaptor","scaffolds PDZ-domain interactions at apical membrane; regulates NHE3 and CFTR activity via PDZ binding","NHE3, CFTR, PTEN, beta2-adrenergic receptor","plasma membrane, apical membrane","kidney, intestine, inner ear, breast","epithelial cells, hair bundle stereocilia","Wnt, CFTR signaling","reduced NHE3-mediated sodium transport; intestinal defects; hearing loss","viable",NA,"no","breast cancer (bioinformatic association only)","biomarker only",NA,"none known","SLC9A3R2 is a PDZ-domain scaffold protein that anchors transporters including NHE3 and CFTR to the apical membrane and regulates their activity in epithelial tissues."
"D17H6S56E-3","other","unknown; possibly phosphatidylcholine-specific phospholipase C activity (predicted)","phosphatidylcholine",NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","D17H6S56E-3 (VWA7 homolog) is a poorly characterized gene with predicted phosphatidylcholine-specific phospholipase C activity based on structural homology, but functional data remain absent."
"Spnb4","structural protein","organizes membrane-cytoskeleton interface at nodes of Ranvier and axon initial segments; stabilizes voltage-gated ion channels","AnkyrinG, voltage-gated sodium channels, KCNQ2/3, Nav1.6","plasma membrane, axon initial segment, nodes of Ranvier","brain, peripheral nerve, skeletal muscle, testis","neurons, Schwann cells, skeletal muscle cells",NA,"neurodevelopmental disorder (NEDHND): hypotonia, peripheral neuropathy, deafness, occasional seizures; male mice develop normally but show neuropathy","viable","peripheral neuropathy, hypotonia, infrequent seizures","no",NA,"none","NEDHND (neurodevelopmental disorder with hypotonia, neuropathy, and deafness)","none known","SPTBN4/spectrin-beta4 is a cytoskeletal scaffolding protein that organizes the axon initial segment and nodes of Ranvier, and whose loss-of-function mutations in humans cause a recessive neurodevelopmental disorder with hypotonia, neuropathy, and deafness."
"Odz1","other","mediates homophilic and heterophilic cell-cell adhesion; regulates axon guidance, synaptogenesis, and circuit wiring; nuclear translocation promotes GBM invasion","teneurin family members, contactin, latrophilin (ADGRL)","plasma membrane, extracellular matrix, nucleus (in GBM)","brain, reproductive tract","neurons, glioblastoma stem-like cells","Wnt/PCP, EMX2-HOXA10 axis","reduced connectivity of callosal and subcortical projections; altered limbic circuit formation","viable","impaired axonal connectivity, altered limbic system wiring","no","glioblastoma (functional: promotes invasion)","oncogene",NA,"none known","ODZ1/TENM1 is a type-II transmembrane protein that mediates homophilic cell adhesion and axon guidance during brain development, and promotes invasion of glioblastoma stem-like cells through nuclear translocation."
"BC096441","other","unknown",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","BC096441 is an uncharacterized mouse cDNA sequence with no abstracts and no known molecular function."
"2310015B20Rik","other","unknown; gene symbol matches DWORF (dwarf open reading frame), a micropeptide that activates SERCA by displacing inhibitory regulators","SERCA (sarco/endoplasmic reticulum Ca2+-ATPase)","sarcoplasmic reticulum membrane","skeletal muscle, heart","muscle cells, cardiomyocytes","calcium signaling","unknown","unknown",NA,"no",NA,"unknown",NA,"none known","2310015B20Rik likely encodes DWORF, a short transmembrane micropeptide expressed in muscle that activates SERCA by displacing inhibitory regulators, thereby promoting calcium reuptake into the sarcoplasmic reticulum."
"Ctgf","secreted factor","binds integrins and heparan sulfate proteoglycans to promote cell adhesion, matrix production, angiogenesis, fibrosis, and osteoblast/chondrocyte differentiation; modulates TGF-beta and BMP signaling","integrins (alpha-v-beta-3, alpha-5-beta-1), TGF-beta, BMP2/4, VEGF, heparan sulfate proteoglycans","extracellular matrix, plasma membrane","connective tissue, vascular wall, bone, cartilage, eye, tendon","fibroblasts, chondrocytes, osteoblasts, endothelial cells, myofibroblasts","TGF-beta/SMAD, BMP, Wnt, YAP/TAZ","embryonic lethal due to skeletal defects (craniofacial and long bone); corneal defects in conditional KO","embryonic lethal",NA,"yes (expressed in eye/retina, neural retina; Muller glia in adult)","breast cancer, hepatocellular carcinoma, colorectal cancer (fibrosis/tumor stroma context)","biomarker only",NA,"promotes (osteoblast, chondrocyte, fibroblast differentiation)","CCN2/CTGF is a cysteine-rich secreted matricellular protein that modulates TGF-beta and integrin signaling to drive fibrosis, angiogenesis, and osteoblast/chondrocyte differentiation in multiple tissues."
"Phf15","other","component of LSD1/NuRD chromatin repressor complex; contains PHD finger that reads histone methylation marks; required for hippocampal synaptic plasticity and cognitive function","LSD1, NuRD complex, histone H3","nucleus","brain, embryonic stem cells","neurons (hippocampus), stem cells","LSD1/HDAC axis, neural differentiation","impaired hippocampal LTP; cognitive deficits; altered ESC differentiation toward neural lineage","viable","impaired synaptic plasticity, cognitive deficits","no","pediatric brain tumors (bioinformatic association only)","biomarker only","cognitive impairment","required for (neural lineage differentiation from ESCs; synaptic plasticity maintenance)","PHF15/JADE2 is a PHD finger protein that functions within the LSD1/NuRD chromatin repressor complex and is required for maintaining hippocampal synaptic plasticity and cognitive function in mice."
"Sept4","GTPase/regulator","forms septin filament scaffolds at diffusion barriers; pro-apoptotic isoform ARTS localizes to mitochondria and promotes caspase activation by antagonizing XIAP; structural role in sperm annulus","XIAP, SEPT2, SEPT6, SEPT7, SEPT12, caspase pathway components","cytoplasm, mitochondria (ARTS isoform), sperm annulus, plasma membrane","testis, intestine, platelets, neurons, liver","spermatocytes, intestinal stem cells, neurons, platelets","apoptosis (caspase), Wnt (stem cell niche)","male sterility (immotile structurally defective sperm; absent annulus); increased intestinal stem cell numbers due to defective ARTS-mediated apoptosis","viable",NA,"no","leukemia, lymphoma (ARTS isoform as tumor suppressor)","tumor suppressor",NA,"inhibits (stem cell self-renewal; promotes apoptotic elimination of stem cells)","SEPT4 encodes both a cytoskeletal septin that forms the sperm annulus and the pro-apoptotic ARTS isoform that promotes stem cell elimination by antagonizing XIAP, with loss causing male infertility and expanded intestinal stem cell pools."
"Fam101b","structural protein","binds filamin-A/B and regulates actin filament network architecture; controls perinuclear actin bundle (TAN line) formation for nuclear positioning","filamin-A, filamin-B, actin","cytoplasm, perinuclear actin network","fibroblasts, cartilage, bone","fibroblasts, chondrocytes, osteoblasts","actin cytoskeleton, mechanotransduction","skeletal malformations (cartilage/bone defects); similar to filamin-B loss-of-function phenotypes","viable",NA,"no",NA,"none",NA,"required for (skeletal morphogenesis, chondrocyte differentiation)","FAM101B/refilin-B is a filamin-binding protein that acts as a molecular switch to reorganize the cortical actin network into contractile bundles, thereby regulating nuclear positioning and skeletal morphogenesis."
"Spnb1","structural protein","links membrane proteins (anion exchanger, glycophorin) to the spectrin-actin cytoskeleton in erythrocytes; also expressed in neurons as a cytoskeletal organizer","ankyrin, protein 4.1, anion exchanger (Band 3), actin","plasma membrane, cytoskeleton","erythrocytes, brain","red blood cells, neurons",NA,"hereditary spherocytosis (erythrocyte fragility, hemolytic anemia); neural isoforms critical for neuronal polarity","viable",NA,"no","esophageal squamous cell carcinoma (bioinformatic association only)","biomarker only",NA,"none known","SPTBN1/spectrin-beta1 is the major erythrocyte spectrin that links the plasma membrane to the actin cytoskeleton, and whose mutations cause hereditary spherocytosis; neuronal isoforms additionally organize axonal membrane domains."
"4933426M11Rik","other","unknown; gene symbol maps to SUSD6 region; SUSD6 is a negative regulator of MHC-I antigen presentation","MHC-I complex, TMEM127, WWP2","plasma membrane","immune cells, melanoma cells","T cells, AML cells","NF-kB, MHC-I antigen presentation","reduced MHC-I surface expression when overexpressed; immune evasion","unknown",NA,"no","AML, melanoma (functional: negative regulator of MHC-I)","biomarker only",NA,"none known","4933426M11Rik (likely SUSD6 homolog) encodes a transmembrane protein that negatively regulates MHC-I surface expression, thereby contributing to immune evasion in cancer."
"1110018J18Rik","other","unknown",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","1110018J18Rik is an uncharacterized RIKEN cDNA with no abstracts and no known molecular function."
"2010300C02Rik","other","unknown",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","2010300C02Rik is an uncharacterized RIKEN cDNA with no abstracts and no known molecular function."
