gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
Fam63b	ubiquitin ligase	ubiquitinates substrate proteins	NA	NA	breast tissue	NA	ubiquitin-proteasome pathway, cell cycle	NA	unknown	NA	NA	breast cancer	biomarker only	schizophrenia (methylation association), Alzheimer's disease (methylation association)	NA	FAM63B (also known as MINDY2) is a deubiquitinase/ubiquitin ligase family member identified in methylation studies of psychiatric disease and in bioinformatic cancer screens, but lacks direct functional characterization in most abstracts.
Fam159b	scaffold/adaptor	scaffolds signaling complexes in neuroendocrine cells	NA	membrane (likely)	pancreatic islets, bronchopulmonary and GI neuroendocrine cells, pancreas	neuroendocrine cells, beta cells	NA	NA	unknown	NA	NA	neuroendocrine tumors	biomarker only	NA	expressed during beta cell maturation	FAM159B is a largely uncharacterized adaptor protein with prominent neuroendocrine expression, implicated as a marker of pancreatic beta cell maturation and expressed in neuroendocrine tumors.
1110032A04Rik	other	regulatory small subunit of serine palmitoyltransferase (SPTssb/ORMDL-related)	SPTLC1, SPTLC2 (serine palmitoyltransferase complex)	ER membrane	skin (stratum corneum), broadly expressed	NA	sphingolipid biosynthesis pathway	altered sphingolipid chain-length composition	unknown	NA	NA	prostate cancer (ceramide-related functional study)	biomarker only	NA	NA	This gene co-occurs in abstracts with SPTLC1 and the SPT complex, suggesting it may be a small subunit modulating sphingolipid long-chain base chain length; direct functional data are limited.
Chi3l7	enzyme	hydrolyzes chitin or chitin-like substrates (putative chitinase)	chitin (putative)	secreted/extracellular (predicted)	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Chi3l7 is a predicted chitinase-family member with no direct functional characterization in the available abstracts; all co-appearing abstracts relate to unrelated topics (chromatin organization, chia seeds, T cell differentiation) with no evidence of a direct role for Chi3l7.
D3Bwg0562e	other	modulates lysophosphatidic acid (LPA) signaling at synapses; regulates cortical excitatory transmission	LPA (lysophosphatidic acid)	postsynaptic density, plasma membrane	brain (cortex, cerebellum)	glutamatergic neurons	LPA signaling, glutamatergic neurotransmission	homozygous deficiency causes juvenile epilepsy in mice	viable (juvenile epilepsy)	epilepsy, seizures	cortical/synaptic evidence; expressed in brain	gastric cancer (bioinformatic association)	biomarker only	intellectual disability, autism spectrum disorder, epilepsy	role in neuronal plasticity	D3Bwg0562e encodes PLPPR4 (PRG-1), a neuron-specific postsynaptic membrane protein that attenuates LPA signaling at glutamatergic synapses; loss causes juvenile epilepsy in mice and de novo variants cause intellectual disability or ASD in humans.
6430704M03Rik	channel regulator	auxiliary subunit of AMPA receptors regulating their assembly and function	AMPA receptor subunits (GluA1-4), ABHD6	ER, plasma membrane	brain (cerebellum and motor regions broadly)	neurons (cerebellar, cortical)	AMPA receptor-mediated excitatory neurotransmission	loss causes impaired AMPAR synaptic transmission and movement disorder (choreoathetosis), epileptic encephalopathy	postnatal lethal	epileptic encephalopathy, choreoathetosis, cognitive deficits	highly expressed in cerebellum; cerebellar Purkinje neuron circuits affected	NA	none	epileptic encephalopathy (DEE37), choreoathetosis	NA	6430704M03Rik encodes FRRS1L, an AMPAR auxiliary subunit critical for receptor assembly in the ER; biallelic loss-of-function mutations cause early infantile epileptic encephalopathy with choreoathetosis (DEE37) in humans and the protein is highly expressed in the cerebellum.
6330512M04Rik	other	interferon-induced transmembrane protein with roles in antiviral defense and cell adhesion	NA	plasma membrane	broadly expressed; gut, immune cells	epithelial cells, immune cells	interferon signaling, antiviral immunity	NA	unknown	NA	NA	colorectal cancer, gastric cancer	biomarker only	NA	NA	6330512M04Rik corresponds to IFITM10, an interferon-induced transmembrane protein family member that is unusual in being interferon-insensitive; it shows altered expression in gastric and colorectal cancer but lacks direct functional oncology studies.
Gm5454	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm5454 is a predicted gene with no abstracts or functional data available.
A930001N09Rik	other	represses CREB3/Luman-mediated ER stress transcription; regulates energy metabolism and body composition	CREB3 (Luman)	nucleus, cytoplasm	adipose tissue, liver, broadly	adipocytes, hepatocytes	ER stress (UPR), energy homeostasis	NA	unknown	NA	NA	breast cancer, AML (bioinformatic association)	biomarker only	NA	regulates adipogenesis/energy storage	A930001N09Rik encodes CREBRF, a repressor of the ER stress transcription factor CREB3/Luman; the CREBRF R457Q variant in Pacific Islander populations paradoxically increases BMI while protecting against type 2 diabetes.
Lhfp	other	putative scaffold or structural membrane protein (lipoma fusion partner)	NA	membrane (lipid raft-associated)	mesenchymal tissues, brain	mesenchymal cells, glioma cells	NA	NA	unknown	NA	gliosarcoma (fusion event)	gliosarcoma, lipoma	oncogene (fusion partner)	NA	NA	LHFP (lipoma HMGIC fusion partner) was originally identified as a translocation fusion partner in lipomas and is also rearranged in gliosarcoma; its biochemical function is poorly defined but it may act as a membrane scaffold.
