gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
0610010F05Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Poorly characterized RIKEN gene with no neural or cerebellar function reported; abstracts cover unrelated immune and population genetics topics.
1500001M20Rik	enzyme	Cardiolipin biosynthesis; mitochondrial membrane maintenance via CDP-diacylglycerol pathway	Phosphatidic acid; CDP-diacylglycerol	Mitochondrial inner membrane	Brain; heart; kidney	Neurons; cardiomyocytes; mitochondria-rich cells	Cardiolipin synthesis; PINK1-PARK2 mitophagy; mitochondrial quality control	Cardiac valve defects in zebrafish tamm41 morphants; embryonic lethality suggested	Moderate	Implicated in Alzheimer disease and epilepsy via mitochondrial dysfunction	NA	NA	NA	Alzheimer disease; epilepsy; depression	Mitochondrial lipid metabolism supporting energy-intensive neural differentiation	Mitochondrial inner membrane enzyme (TAMM41) required for cardiolipin synthesis and PINK1/PARK2-dependent mitophagy; expressed in developing brain and heart.
1600016N20Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized lncRNA-associated RIKEN gene; abstracts link it only to cancer-derived lncRNA signatures with no neural function reported.
1600029O15Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene appearing in a cardiac ischemia/reperfusion lncRNA screen; no neural or cerebellar function established.
2200002K05Rik	adhesion molecule	Induces membrane protrusions; regulates neuronal morphogenesis and positional complexity via actin membrane dynamics	Actin cytoskeleton; N-linked glycosylation sites	Plasma membrane	Brain; immune tissues	Neurons (hippocampal; cortical); immune cells	Ig superfamily signaling; actin dynamics; neuronal migration; immune checkpoint-related	Knockdown reduces dendritic complexity and alters neuronal positioning in culture	Moderate	Impaired neuronal morphogenesis and migration; altered dendritic arborization	NA	NA	Potential tumor immune-checkpoint modulator	NA	Regulates neuronal membrane dynamics during differentiation	Vstm5 (VSTM5), an Ig-superfamily membrane glycoprotein, drives membrane protrusions and controls neuronal positioning and dendritic complexity in the developing brain.
2310003H01Rik	scaffold/adaptor	Scaffolding subunit of the FA core complex; facilitates FANCD2-FANCI monoubiquitination upon DNA interstrand crosslink damage	FANCA; FANCB; FANCC; FANCD2; FANCI	Nucleus	Ubiquitous; high in proliferating cells	Hematopoietic progenitors; neural progenitors; epithelial cells	Fanconi anemia / BRCA DNA repair; ICL repair; ATR-ATM DDR signaling; E3 ubiquitin ligase activity	Human LOF: severe developmental abnormalities, aplastic anemia, multiple pregnancy losses; Zebrafish: developmental defects	Severe	Microcephaly; severe neurodevelopmental abnormalities reported in FA patients	NA	Pan-cancer (elevated expression correlates with poor prognosis); associated with cancer susceptibility	DNA repair scaffold promoting genomic stability	Fanconi anemia; cancer predisposition	Essential in neural progenitor proliferation for genomic integrity maintenance	FAAP100, obligate non-catalytic subunit of the FA core complex E3 ligase, scaffolds FANCD2-FANCI monoubiquitination for ICL repair; LOF causes severe neurodevelopmental defects.
2410018M08Rik	other	Transcriptional co-regulator; SCAN domain protein; putative ZBED/transposase-fold transcription factor	NA	Nucleus	Ubiquitous; brain	Neural progenitors; B cells	Transcriptional regulation; Williams syndrome gene network; TFII-I family targets	Down-regulated in Gtf2i/Gtf2ird1 double mutant mouse embryos	Mild–Moderate	Implicated in craniofacial and cognitive abnormalities of Williams syndrome region deletions	NA	NA	NA	Williams syndrome; cognitive/craniofacial anomalies	Transcriptional target regulated during early brain patterning	Scand3/Zbed9, a SCAN-domain transcription factor dramatically down-regulated in Williams syndrome locus mutant embryos, suggesting a role in early CNS patterning.
2510009E07Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene identified in comparative neurogenesis transcriptomics and gastrulation epigenome profiling; no specific molecular function established yet.
2600006K01Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene with no abstracts and no established function; max expression at E15 suggests embryonic brain role.
2610017I09Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized gene (no description, no abstracts); embryonic expression peak at E15 only; no known function.
